loading: alice.txt
the 1605
and 766
to 706
a 614
she 518
of 493
said 421
it 362
in 352
was 333
you 265
i 261
as 249
that 222
alice 221
her 208
at 206
had 176
with 169
all 155
on 142
very 139
be 138
for 135
so 126
`i 121
little 120
they 117
but 117
he 111
not 108
this 103
out 97
his 95
what 91
about 84
were 82
up 81
one 80
went 79
down 78
have 77
would 76
alice, 76
like 75
when 73
if 72
is 71
or 68
no 67
into 67
could 65
there 64
thought 63
your 60
* 60
then 59
its 57
`and 56
my 56
by 56
mock 56
an 56
quite 55
who 54
alice. 54
don't 53
do 51
their 51
did 50
some 50
them 49
just 48
see 48
time 47
began 47
me 46
how 46
know 46
got 45
looked 45
only 44
get 43
must 42
never 40
after 40
such 40
are 40
herself 40
which 40
off 40
much 40
more 39
go 39
great 39
`you 39
`but 38
think 38
it, 38
came 38
i'm 37
way 37
been 36
any 36
queen 35
thing 35
say 35
`what 34
turtle 33
large 32
from 32
over 31
can 31
put 31
march 31
it's 31
again, 31
herself, 31
`it 30
round 30
looking 30
first 30
long 30
rabbit 30
will 30
tell 29
head 29
heard 29
back 29
made 29
white 28
found 28
king 28
on, 27
can't 27
might 27
seemed 27
should 27
well 27
said, 26
make 26
going 26
come 26
you, 26
upon 26
last 26
poor 26
other 26
now 25
rather 25
look 25
hatter 24
took 24
without 24
i'll 24
soon 24
three 23
than 23
felt 23
good 23
him 23
dormouse 23
`it's 23
two 22
nothing 22
shall 22
next 22
gryphon 22
`if 21
another 21
too 21
right 21
half 21
same 21
moment 21
won't 21
them, 21
getting 21
wish 21
mouse 20
`i'm 20
`the 20
`well, 20
added 20
find 20
while 20
i've 20
even 19
here 19
before 19
`oh, 19
things 19
it,' 19
and, 19
till 19
take 19
being 19
once 19
however, 19
voice 18
eyes 18
tried 18
her, 18
cried 18
ever 17
you're 17
sat 17
that's 17
queen, 17
sort 17
this, 17
under 16
is, 16
there's 16
we 16
turned 16
sure 16
tone, 16
it. 16
hare 16
`how 16
curious 16
use 16
doesn't 16
alice; 16
eat 16
again. 16
gryphon. 15
gave 15
something 15
minute 15
voice, 15
wonder 15
king, 15
door 15
duchess 15
`that 15
`that's 15
called 15
cat 15
away 15
off, 14
down, 14
was, 14
near 14
hear 14
`i've 14
replied 14
idea 14
set 14
both 14
anything 14
words 14
gryphon, 14
her. 13
end 13
hatter. 13
ran 13
anxiously 13
kept 13
left 13
old 13
still 13
saw 13
these 13
out, 13
am 13
again 13
through 13
whole 13
let 13
grow 13
ought 13
every 12
side 12
turning 12
seen 12
knew 12
chapter 12
may 12
many 12
among 12
hardly 12
`of 12
caterpillar. 12
always 12
behind 12
close 12
wouldn't 12
talking 12
used 12
try 12
remember 12
king. 12
alice's 12
perhaps 12
because 12
better 11
caterpillar 11
see, 11
saying 11
queen. 11
hand 11
deal 11
mouse, 11
`a 11
course 11
hurried 11
`not 11
`then 11
trying 11
wasn't 11
glad 11
beginning 11
feet 11
first, 11
makes 11
didn't 11
day 11
hare. 11
it?' 11
before, 11
whether 11
`we 11
people 10
everything 10
talk 10
where 10
voice. 10
not, 10
nearly 10
enough 10
those 10
thinking 10
they're 10
having 10
sitting 10
suddenly 10
done 10
walked 10
hatter, 10
two, 10
up, 9
dodo 9
shook 9
give 9
want 9
join 9
`come, 9
door, 9
queer 9
best 9
against 9
yet 9
it.' 9
why, 9
jury 9
change 9
shouted 9
opened 9
you?' 9
waited 9
`no, 9
`they 9
couldn't 9
turtle. 9
rest 9
read 9
cats 9
gone 9
really 9
help 9
it: 9
it; 9
house, 9
dear! 9
please 9
know.' 9
us 9
far 9
`why, 9
few 9
`why 9
tone. 9
afraid 9
(she 9
that,' 9
own 9
`in 8
room 8
top 8
matter 8
that!' 8
explain 8
tone 8
speak 8
opportunity 8
keep 8
certainly 8
cook 8
making 8
name 8
but, 8
on. 8
duchess, 8
turtle, 8
`yes, 8
"i 8
running 8
fan 8
small 8
`off 8
followed 8
know. 8
beautiful 8
suppose 8
house 8
hard 8
feel 8
you'd 8
heads 8
believe 8
play 8
most 8
lying 8
`do 8
else 8
itself 8
bit 8
me,' 8
waiting 8
know,' 8
our 8
beg 8
soldiers 8
asked. 8
table 8
asked 8
reason 8
herself. 8
repeated 8
rabbit, 8
tired 7
changed 7
i'd 7
golden 7
work 7
turn 7
it!' 7
each 7
mean 7
seem 7
do, 7
though 7
mouth 7
now, 7
dry 7
grown 7
has 7
frightened 7
round, 7
word 7
leave 7
it'll 7
goes 7
hadn't 7
here, 7
`so 7
wondering 7
stood 7
`are 7
birds 7
could, 7
hastily 7
begin 7
so, 7
bright 7
way, 7
bottle 7
knave 7
low 7
cat, 7
pool 7
know, 7
again!' 7
offended 7
`there's 7
footman 7
haven't 7
ask 7
least 7
`for 7
arm 7
majesty,' 7
one, 7
ready 7
`as 7
question 7
live 7
meaning 7
continued 7
baby 7
time, 7
why 7
face 7
minutes 7
alice: 7
head!' 7
finished 7
party 7
`he 7
queen's 7
noticed 7
everybody 6
four 6
told 6
thought, 6
hold 6
dormouse, 6
answer 6
then, 6
size 6
`you're 6
`don't 6
feeling 6
that?' 6
neck 6
spoke. 6
on!' 6
about, 6
feet, 6
moral 6
dear 6
low, 6
fell 6
growing 6
mad 6
indeed!' 6
begun 6
place 6
thing!' 6
open 6
you,' 6
`or 6
world 6
either 6
oh 6
cat. 6
oh, 6
fall 6
creatures 6
`come 6
full 6
began, 6
sharp 6
isn't 6
pigeon 6
dear, 6
kind 6
forgotten 6
surprised 6
game 6
inches 6
melancholy 6
`who 6
manage 6
sit 6
watch 6
trembling 6
hand, 6
hands 6
hatter: 6
times 6
between 6
exactly 6
written 6
not,' 6
slowly 6
dreadfully 6
almost 6
cheshire 6
then,' 6
pepper 6
repeat 6
her: 5
new 5
swam 5
arms 5
call 5
off. 5
roof 5
arm, 5
hedgehog 5
dance. 5
air, 5
air. 5
mind 5
drew 5
adventures 5
so,' 5
kid 5
replied, 5
replied. 5
sentence 5
much,' 5
hands, 5
hall, 5
generally 5
sighed 5
pleased 5
along 5
say, 5
time,' 5
marked 5
soup 5
write 5
shoes 5
conversation. 5
happen 5
shouldn't 5
yet,' 5
spoke, 5
`would 5
pair 5
walking 5
tears 5
`now 5
jumped 5
across 5
notice 5
puzzled 5
you've 5
dare 5
piece 5
all. 5
lobster 5
broken 5
tone: 5
deep 5
hearts, 5
waving 5
(it 5
children 5
them!' 5
ten 5
tea 5
him, 5
sudden 5
court 5
coming 5
crowded 5
course, 5
foot 5
course,' 5
number 5
`when 5
head. 5
window, 5
trees 5
gloves 5
simple 5
silence. 5
understand 5
remarked. 5
cut 5
table, 5
last, 5
remembered 5
nice 5
sounded 5
young 5
other, 5
yourself 5
`to 5
that, 5
fetch 5
interrupted 5
here,' 5
once, 5
key 5
taking 5
`i'll 5
moment, 5
puppy 5
become 5
hair 5
she, 5
what?' 5
sister 5
court, 5
eyes, 5
garden, 5
beau--ootiful 4
sleep 4
dance? 4
worth 4
now,' 4
school 4
`is 4
me, 4
likely 4
`she 4
ventured 4
spoke 4
glass 4
hot 4
jumping 4
lay 4
writing 4
history, 4
`now, 4
taught 4
soo--oop! 4
day, 4
wanted 4
go, 4
listen 4
begins 4
second 4
exclaimed 4
soup! 4
nobody 4
lessons 4
stop 4
twinkle, 4
ears 4
now.' 4
height 4
`call 4
mushroom 4
one,' 4
seven 4
said. 4
several 4
thing, 4
`there 4
yer 4
remark, 4
duchess; 4
fact, 4
dead 4
bottom 4
crowd 4
sneezing 4
until 4
song, 4
