Processing: baby1990.html
reading: baby1990.html
1990
Abbey 482
Abbie 685
Abby 222
Abigail 90
Adrian 603
Adriana 144
Adrianna 325
Adrianne 783
Adrienne 233
Aileen 851
Aimee 272
Aisha 568
Aja 940
Alaina 441
Alana 368
Alanna 474
Alannah 936
Alecia 678
Alejandra 211
Alesha 695
Alessandra 829
Alex 802
Alexa 146
Alexander 873
Alexandra 37
Alexandrea 653
Alexandria 95
Alexia 557
Alexis 66
Ali 687
Alice 347
Alicia 53
Alina 664
Alisa 460
Alisha 135
Alison 133
Alissa 276
Allie 579
Allison 48
Allyson 236
Allyssa 709
Alma 386
Alycia 524
Alysa 900
Alyse 816
Alysha 410
Alysia 643
Alyson 358
Alyssa 27
Amanda 4
Amber 15
Amelia 194
Amie 698
Amy 38
Ana 124
Anabel 746
Anastasia 382
Andrea 40
Andria 870
Angel 174
Angela 52
Angelia 501
Angelica 119
Angelina 261
Angelique 631
Angie 586
Anita 405
Anjelica 923
Ann 251
Anna 45
Anne 155
Annemarie 996
Annette 513
Annie 334
Annmarie 973
Antoinette 354
Antonia 661
April 73
Araceli 556
Ariana 227
Arianna 411
Ariel 94
Arielle 186
Arlene 682
Asha 997
Ashely 632
Ashlee 154
Ashleigh 178
Ashley 2
Ashli 722
Ashlie 476
Ashly 535
Ashlyn 559
Ashton 331
Asia 299
Athena 731
Aubrey 298
Audra 673
Audrey 161
Aurora 716
Autumn 177
Ava 953
Avery 797
Ayla 818
Baby 861
Bailey 226
Barbara 210
Beatrice 720
Beatriz 472
Becky 862
Belinda 624
Bernadette 735
Beth 392
Bethany 107
Betsy 739
Betty 577
Beverly 521
Bianca 84
Billie 830
Blair 487
Blake 937
Blanca 397
Bobbi 766
Bobbie 638
Bonnie 380
Brandi 103
Brandie 551
Brandy 137
Breana 546
Breann 775
Breanna 113
Breanne 498
Bree 938
Brenda 123
Brenna 418
Briana 109
Brianna 61
Brianne 318
Bridget 191
Bridgett 839
Bridgette 440
Britany 491
Britney 136
Britni 611
Britny 723
Brittaney 688
Brittani 230
Brittanie 553
Brittany 3
Brittnee 713
Brittney 44
Brittni 357
Brittnie 843
Brittny 591
Brook 868
Brooke 70
Brooklyn 911
Bryanna 633
Caitlin 50
Caitlyn 183
Callie 297
Cameron 675
Camille 243
Candace 142
Candice 147
Candy 949
Cara 235
Cari 959
Carina 544
Carissa 257
Carla 263
Carley 761
Carlie 924
Carly 163
Carmen 217
Carol 350
Carolina 302
Caroline 116
Carolyn 169
Carrie 170
Casandra 407
Casey 106
Cassandra 49
Cassidy 468
Cassie 228
Cassondra 724
Catalina 956
Catherine 71
Cathy 914
Catrina 908
Cayla 550
Cecelia 847
Cecilia 326
Cecily 574
Celeste 398
Celia 589
Celina 704
Chandra 742
Chanel 419
Chanelle 925
Chantal 552
Chantel 362
Chantelle 721
Charity 458
Charlene 394
Charlotte 287
Charmaine 819
Chasity 373
Chastity 915
Chaya 894
Chelsea 24
Chelsey 128
Chelsi 762
Chelsie 273
Cherie 865
Cherish 992
Cheryl 415
Cheyenne 330
Chloe 212
Christa 372
Christen 650
Christian 319
Christiana 831
